,LAT,LONG,TIMESTAMP
110,-7.992019300000001,-34.84223679999999,2018-10-11 16:42:28
111,-9.7811212,-36.0994081,2018-09-28 00:19:44
112,-7.1781159,-34.8621568,2018-08-21 16:25:16
113,-8.5065261,-35.0059569,2018-08-20 20:41:09
114,-8.1688125,-34.920874,2018-08-13 14:37:21
115,-3.906286399999999,-38.3874738,2018-07-10 21:39:07
116,-13.0098997,-38.5284848,2017-11-10 13:28:45
117,-9.6660417,-35.7352167,2018-05-04 11:33:29
118,-9.2670672,-35.373503,2018-01-21 22:26:41
119,-9.2670672,-35.373503,2018-01-20 21:32:31
120,-8.457518499999999,-34.9841766,2017-12-27 18:22:07
121,-8.5065261,-35.0059569,2017-12-22 22:03:26
122,-9.0127163,-35.22139540000001,2017-12-05 16:36:14
123,-24.3182917,-46.99406,2017-11-29 15:50:34
124,-7.118835199999999,-34.8814339,2017-10-12 10:10:06
125,-14.2801238,-38.9946356,2017-01-19 13:25:14
126,-8.5254925,-35.0069927,2016-12-25 22:45:17
127,-9.6374411,-35.6978601,2016-12-10 09:21:17
128,-9.7686566,-35.8440684,2016-11-29 21:51:47
129,-23.8165908,-45.3667925,2016-11-28 21:41:49
130,-11.061321,-37.09814799999999,2016-11-26 21:50:30
131,-11.4098737,-41.2808577,2016-11-13 19:32:53
132,-26.9971859,-48.5908443,2016-11-25 18:07:03
133,-6.812307,-34.914146,2021-04-23 20:53:51
134,-11.0117301,-37.0728912,2021-04-11 23:21:20
135,-10.9880742,-37.0534508,2021-03-24 22:59:06
136,-12.3892571,-37.8825897,2021-03-21 18:50:22
137,-14.8464002,-39.03589729999999,2021-03-19 22:11:39
138,-12.3892571,-37.8825897,2021-03-12 17:25:06
139,-11.0611672,-37.099792,2021-03-05 12:17:52
140,-12.8814128,-38.3037486,2021-03-04 13:34:59
141,-11.214711,-37.2005992,2021-03-01 17:00:11
142,-27.5948036,-48.5569286,2021-02-27 21:55:37
143,-24.0120485,-46.404064,2021-02-23 13:00:10
144,-27.4371624,-48.3894599,2021-02-20 17:50:39
